time(micros),mv,led,gain,mvfiltered,mvestimated
1862584,34,0,Inf,34,0
1868144,29,0,Inf,33,0
1873696,39,0,Inf,34,0
1879256,34,0,Inf,34,0
1884808,34,0,Inf,34,0
1890368,34,0,Inf,34,0
1895920,29,0,Inf,34,0
1901472,39,0,Inf,34,0
1907032,34,0,Inf,34,0
1912584,34,0,Inf,34,0
1918144,29,0,Inf,33,0
1923696,39,0,Inf,35,0
1929252,34,0,Inf,34,0
1934808,34,0,Inf,34,0
1940360,34,0,Inf,34,0
1945920,39,0,Inf,36,0
1951472,39,0,Inf,36,0
1957032,34,0,Inf,36,0
1962584,34,0,Inf,36,0
1968140,39,0,Inf,37,0
1973696,39,0,Inf,37,0
1979248,34,0,Inf,36,0
1984808,34,0,Inf,36,0
1990360,39,0,Inf,37,0
1995920,39,0,Inf,37,0
2001472,34,0,Inf,36,0
2007024,29,0,Inf,35,0
2012584,34,0,Inf,35,0
2018136,34,0,Inf,34,0
2023696,34,0,Inf,33,0
2029248,34,0,Inf,33,0
2034808,34,0,Inf,34,0
2040360,34,0,Inf,34,0
2045912,34,0,Inf,34,0
2051472,34,0,Inf,34,0
2057024,34,0,Inf,34,0
2062584,34,0,Inf,34,0
2068136,39,0,Inf,35,0
2073696,39,0,Inf,36,0
2079248,34,0,Inf,36,0
2084800,34,0,Inf,36,0
2090360,34,0,Inf,36,0
2095912,34,0,Inf,35,0
2101472,34,0,Inf,34,0
2107024,34,0,Inf,34,0
2112584,34,0,Inf,34,0
2118136,34,0,Inf,34,0
2123688,39,0,Inf,35,0
2129248,29,0,Inf,34,0
2134800,39,0,Inf,35,0
2140360,39,0,Inf,36,0
2145912,34,0,Inf,36,0
2151468,34,0,Inf,35,0
2157024,34,0,Inf,36,0
2162576,34,0,Inf,35,0
2168136,34,0,Inf,34,0
2173688,34,0,Inf,34,0
2179248,34,0,Inf,34,0
2184800,34,0,Inf,34,0
2190356,39,0,Inf,35,0
2195912,34,0,Inf,35,0
2201464,34,0,Inf,35,0
2207024,29,0,Inf,34,0
2212576,34,0,Inf,34,0
2218136,34,0,Inf,33,0
2223688,29,0,Inf,32,0
2229240,29,0,Inf,31.0000000000000,0
2234800,34,0,Inf,32,0
2240352,34,0,Inf,32,0
2245912,34,0,Inf,32,0
2251464,34,0,Inf,33,0
2257024,34,0,Inf,34,0
2262576,39,0,Inf,35,0
2268128,29,0,Inf,34,0
2273688,29,0,Inf,33,0
2279240,34,0,Inf,33,0
2284800,39,0,Inf,34,0
2290352,39,0,Inf,34,0
2295912,34,0,Inf,35,0
2301464,34,0,Inf,36,0
2307016,39,0,Inf,37,0
2312576,39,0,Inf,37,0
2318128,34,0,Inf,36,0
2323688,29,0,Inf,35,0
2329240,34,0,Inf,35,0
2334800,34,0,Inf,34,0
2340352,29,0,Inf,32,0
2345904,34,0,Inf,32,0
2351464,34,0,Inf,33,0
2357016,34,0,Inf,33,0
2362576,34,0,Inf,33,0
2368128,34,0,Inf,34,0
2373688,29,0,Inf,33,0
2379240,34,0,Inf,33,0
2384792,34,0,Inf,33,0
2390352,39,0,Inf,34,0
2395904,29,0,Inf,33,0
2401464,39,0,Inf,35,0
2407016,34,0,Inf,35,0
2412572,34,0,Inf,35,0
2418128,39,0,Inf,35,0
2423680,29,0,Inf,35,0
2429240,34,0,Inf,34,0
2434792,29,0,Inf,33,0
2440360,29,0,Inf,32,0
2445912,34,0,Inf,31.0000000000000,0
2451468,34,0,Inf,32,0
2457024,34,0,Inf,32,0
2462576,34,0,Inf,33,0
2468136,34,0,Inf,34,0
2473688,39,0,Inf,35,0
